PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
216,RIVER VALLEY PRIMARY SCHOOL,SOUTH,S4,18,1,0,6,0,0.166666667,E,1.2939,103.8364
217,SCHOOL OF THE ARTS,SOUTH,S4,18,0,1,8,4,0.5,C,1.299297,103.8487409
218,ZHANGDE PRIMARY SCHOOL,SOUTH,S4,18,1,0,5,1,0.2,E,1.28406155,103.8261569
219,ANGLO-CHINESE SCHOOL (JUNIOR),SOUTH,S5,19,1,0,6,0,0,E,1.3091048,103.8414098
220,BENDEMEER PRIMARY SCHOOL,SOUTH,S5,19,1,0,7,2,0.142857143,E,1.3222744,103.8651292
221,BENDEMEER SECONDARY SCHOOL,SOUTH,S5,19,0,1,7,4,0.571428571,C,1.324497,103.86143
222,FARRER PARK PRIMARY SCHOOL,SOUTH,S5,19,1,0,4,2,0.5,C,1.3123692,103.8507914
223,ST. ANDREW'S JUNIOR SCHOOL,SOUTH,S5,19,1,0,8,4,0.5,C,1.3314877,103.8650956
224,ST. ANDREW'S SECONDARY SCHOOL,SOUTH,S5,19,0,1,9,4,0.444444444,D,1.33111015,103.8661242
225,ST. JOSEPH'S INSTITUTION,SOUTH,S5,19,0,1,14,6,0.428571429,D,1.3242,103.8283264
226,ST. JOSEPH'S INSTITUTION JUNIOR,SOUTH,S5,19,1,0,8,3,0.285714286,D,1.31751305,103.8463183
